event_id,corpus,n_articles,n_stories,dup_removed
PFC-2022-AZ-F56B056B,Ped,4,4,0
PFC-2022-AZ-A7ACDA01,Ped,3,3,0
PFC-2022-TX-73818385,Ped,1,1,0
PFC-2022-AZ-399E1172,Ped,1,1,0
PFC-2022-CA-F4AABCF4,Ped,2,2,0
PFC-2022-AZ-BC51A618,Ped,2,2,0
PFC-2022-CA-0D375801,Ped,2,2,0
PFC-2022-CA-FD7DB92D,Ped,1,1,0
PFC-2022-CA-B3EED63D,Ped,1,1,0
PFC-2022-NV-2EB84DDD,Ped,1,1,0
PFC-2022-CA-53B8342C,Ped,2,1,1
PFC-2022-TX-5C65F71C,Ped,1,1,0
PFC-2022-CA-2224C04C,Ped,1,1,0
PFC-2022-CA-1F58FEC2,Ped,2,2,0
PFC-2022-TX-AA52AE2C,Ped,1,1,0
PFC-2022-CA-511B1E07,Ped,1,1,0
PFC-2022-AZ-118B5BD5,Ped,2,2,0
PFC-2022-NV-20F9784A,Ped,1,1,0
PFC-2022-CA-EA6DB46F,Ped,1,1,0
PFC-2022-CA-BF4A479D,Ped,1,1,0
PFC-2022-NV-65BCDBAF,Ped,1,1,0
PFC-2022-AZ-F15E44E3,Ped,1,1,0
PFC-2022-TX-687F4D08,Ped,1,1,0
PFC-2022-AZ-A7486DCE,Ped,4,4,0
PFC-2022-CA-BDCA00AD,Ped,1,1,0
PFC-2022-CA-FB20CADF,Ped,2,2,0
PFC-2022-AZ-5444882B,Ped,2,2,0
PFC-2022-AZ-13B09D4F,Ped,2,2,0
PFC-2022-CA-4F797A7C,Ped,1,1,0
PFC-2022-AZ-1DA6DCF9,Ped,1,1,0
PFC-2022-CA-DA3B4B38,Ped,1,1,0
PFC-2022-TX-F832054C,Ped,1,1,0
PFC-2022-CA-379A47A1,Ped,3,2,1
PFC-2022-TX-1DD129ED,Ped,1,1,0
PFC-2022-AZ-5A6C3312,Ped,1,1,0
PFC-2022-NV-FAB1CA4B,Ped,1,1,0
PFC-2022-TX-1C648786,Ped,1,1,0
PFC-2022-CA-09A86A85,Ped,5,5,0
PFC-2022-AZ-3F174712,Ped,1,1,0
PFC-2022-AZ-A6D070EF,Ped,2,2,0
PFC-2022-CA-A0DB8DB7,Ped,2,2,0
PFC-2022-AZ-58BA00EB,Ped,1,1,0
PFC-2022-AZ-0B8DDF5D,Ped,2,2,0
PFC-2022-AZ-144757F3,Ped,1,1,0
PFC-2022-AZ-AC8172CE,Ped,1,1,0
PFC-2022-AZ-D066C914,Ped,1,1,0
PFC-2022-AZ-86FC473B,Ped,1,1,0
PFC-2022-CA-C2F2CB00,Ped,1,1,0
PFC-2022-AZ-92F5BA5A,Ped,3,3,0
PFC-2022-AZ-72E34672,Ped,1,1,0
PFC-2022-AZ-A6863042,Ped,1,1,0
PFC-2022-CA-97003A16,Ped,2,2,0
PFC-2022-AZ-BB0BB542,Ped,1,1,0
PFC-2022-CA-33DE1C22,Ped,1,1,0
PFC-2022-CA-767B2B22,Ped,1,1,0
PFC-2022-TX-CB431D53,Ped,1,1,0
PFC-2022-NV-2D9DE01F,Ped,1,1,0
PFC-2022-CA-DF5E65D4,Ped,1,1,0
PFC-2022-AZ-6D85A552,Ped,1,1,0
PFC-2022-AZ-743B6E3F,Ped,1,1,0
PFC-2022-CA-6932970F,Ped,2,2,0
PFC-2022-CA-EB4FE5AE,Ped,4,4,0
PFC-2022-TX-5ABD9C77,Ped,1,1,0
PFC-2022-NV-A841A386,Ped,1,1,0
PFC-2022-AZ-3A897A72,Ped,1,1,0
PFC-2022-AZ-C7C579CC,Ped,1,1,0
PFC-2022-AZ-BFBCFC67,Ped,7,7,0
PFC-2022-AZ-1E6DF448,Ped,1,1,0
PFC-2022-CA-E41D26CF,Ped,1,1,0
PFC-2022-TX-55C154B5,Ped,1,1,0
PFC-2022-AZ-821AD253,Ped,1,1,0
PFC-2022-CA-2736320C,Ped,1,1,0
PFC-2022-CA-F96115BA,Ped,1,1,0
PFC-2023-CA-7F34C39E,Ped,1,1,0
